Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
DeviceID.ID,false,2023-09-13T22:50:18.539Z,false,2023-09-13T22:50:18.539Z,"00259E-EG8145V5-48575443A94196A5",xsd:string,2023-09-13T22:50:18.539Z,,,,
DeviceID.Manufacturer,false,2023-09-13T22:50:18.539Z,false,2023-09-13T22:50:18.539Z,"Huawei Technologies Co., Ltd",xsd:string,2023-09-13T22:50:18.539Z,,,,
DeviceID.OUI,false,2023-09-13T22:50:18.539Z,false,2023-09-13T22:50:18.539Z,"00259E",xsd:string,2023-09-13T22:50:18.539Z,,,,
DeviceID.ProductClass,false,2023-09-13T22:50:18.539Z,false,2023-09-13T22:50:18.539Z,"EG8145V5",xsd:string,2023-09-13T22:50:18.539Z,,,,
DeviceID.SerialNumber,false,2023-09-13T22:50:18.539Z,false,2023-09-13T22:50:18.539Z,"48575443A94196A5",xsd:string,2023-09-13T22:50:18.539Z,,,,
Events.0_BOOTSTRAP,false,2023-09-13T22:50:18.539Z,false,2023-09-13T22:50:18.539Z,"2023-09-13T19:43:42.035Z",xsd:dateTime,2023-09-13T22:50:18.539Z,,,,
Events.Inform,false,2023-09-13T22:50:18.539Z,false,2023-09-13T22:50:18.539Z,"2023-09-13T22:50:18.539Z",xsd:dateTime,2023-09-13T22:50:18.539Z,,,,
Events.Registered,false,2023-09-13T22:50:18.539Z,false,2023-09-13T22:50:18.539Z,"2023-09-13T19:43:42.035Z",xsd:dateTime,2023-09-13T22:50:18.539Z,,,,
InternetGatewayDevice,true,1970-01-01T00:00:00.001Z,,,"",,,,,,
InternetGatewayDevice.BulkData,true,2023-09-13T19:43:42.035Z,true,2023-09-13T19:43:42.035Z,"",,,,,,
InternetGatewayDevice.Capabilities,true,2023-09-13T19:43:42.035Z,false,2023-09-13T19:43:42.035Z,"",,,,,,
InternetGatewayDevice.DHCPv4,true,2023-09-13T19:43:42.035Z,true,2023-09-13T19:43:42.035Z,"",,,,,,
InternetGatewayDevice.DHCPv6,true,2023-09-13T19:43:42.035Z,true,2023-09-13T19:43:42.035Z,"",,,,,,
InternetGatewayDevice.DNS,true,2023-09-13T19:43:42.035Z,true,2023-09-13T19:43:42.035Z,"",,,,,,
InternetGatewayDevice.DeviceConfig,true,2023-09-13T19:43:42.035Z,false,2023-09-13T19:43:42.035Z,"",,,,,,
InternetGatewayDevice.DeviceInfo,true,2023-09-13T19:43:42.035Z,true,2023-09-13T19:43:42.035Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.AccessType,false,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.AdditionalHardwareVersion,false,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.AdditionalSoftwareVersion,false,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.Description,false,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.DeviceLog,false,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.DeviceType,false,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.EfuseInfo,true,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.EnabledOptions,false,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.FirstUseDate,false,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.HardwareVersion,false,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"159D.A",xsd:string,2023-09-13T22:50:18.540Z,,,,
InternetGatewayDevice.DeviceInfo.ManufactureInfo,false,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.Manufacturer,false,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ManufacturerOUI,false,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.MemoryStatus,true,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ModelName,false,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"EG8145V5",xsd:string,2023-09-13T21:37:54.317Z,,,,
InternetGatewayDevice.DeviceInfo.ModelNumber,false,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ModemFirmwareVersion,false,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ProcessStatus,true,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.Processor,true,2023-09-13T21:37:54.309Z,true,2023-09-13T21:37:54.309Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ProductClass,false,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ProvisioningCode,false,2023-09-13T21:37:54.309Z,true,2023-09-13T21:37:54.309Z,"",xsd:string,2023-09-13T22:50:18.540Z,,,,
InternetGatewayDevice.DeviceInfo.SerialNumber,false,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.SoftwareVersion,false,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"V5R020C00S280",xsd:string,2023-09-13T22:50:18.540Z,,,,
InternetGatewayDevice.DeviceInfo.SpecVersion,false,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"1.0",xsd:string,2023-09-13T22:50:18.540Z,,,,
InternetGatewayDevice.DeviceInfo.TemperatureStatus,true,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.UpTime,false,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"3726836",xsd:unsignedInt,2023-09-13T21:37:54.323Z,,,,
InternetGatewayDevice.DeviceInfo.VendorConfigFile,true,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.VendorConfigFileNumberOfEntries,false,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.VendorLogFile,true,2023-09-13T21:37:54.309Z,true,2023-09-13T21:37:54.309Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.VendorLogFileNumberOfEntries,false,2023-09-13T21:37:54.309Z,false,2023-09-13T21:37:54.309Z,"",,,,,,
